Full Name	Gender	Place of Birth
Abramo Marconnet	m	
Agabito Simoni	m	
Agostino Da Mula	m	Venice
Alberto Cesare Galilei	m	
Alberto Gondi	m	
Alessandra Bocchineri Buonamici	f	Prato
Alessandro Bedini	m	
Alessandro Bichi	m	Siena
Alessandro Bocchineri	m	
Alessandro Caccia	m	
Alessandro Caccini	m	Florence
Alessandro Capoano	m	
Alessandro d’Este	m	
Alessandro de’ Medici	m	
Alessandro Del Monte	m	Pesaro
Alessandro Marsili	m	Siena
Alessandro Marzimedici	m	Florence
Alessandro Ninci	m	San Casciano
Alessandro Orsini	m	Rome
Alessandro Peretti di Montalto	m	Rome
Alessandro Piersanti	m	
Alessandro Sertini	m	Florence
Alessandro Tadino	m	Milan
Alfonso Antonini	m	Udine
Alfonso Fontanelli	m	Modena
Alfonso Pallotti	m	Geneva
Alvise Mocenigo	m	Venice
Ambrogio da Tabia	m	
Andrea Arrighetti	m	
Andrea Cioli	m	Cortona
Andrea Gerini	m	
Andrea Labia	m	
Andrea Minucci	m	
Andrea Morosini	m	Venice
Andrea Sozzi	m	
Angelo Contarini	m	Venice
Angelo de Filiis	m	Terni
Angelo Rota	m	
Angelo Sperindio	m	
Anna Maria Vaiani	f	
Annibale Guiducci	m	
Annibale Primi	m	
Antioco Bentivogli	m	
Antonio Alberti	m	
Antonio Badelli	m	
Antonio Barberini	m	
Antonio da Lendinara	m	
Antonio de Ville	m	
Antonio de' Medici	m	Florence
Antonio Giggi	m	
Antonio Hurtado di Mendoza	m	
Antonio Lorii	m	
Antonio Maria Berardi	m	Perugia
Antonio Miniati	m	Florence
Antonio Nardi	m	Arezzo
Antonio Quaratesi	m	Florence
Antonio Querengo	m	Padua
Antonio Quirini	m	Venice
Antonio Riccoboni	m	Rovigo
Antonio Rocco	m	Scurcula (Aquila)
Antonio Santini	m	Lucca
Arrigo Robinson	m	
Artemisia Gentileschi	f	Pisa
Arturo Pannocchieschi d'Elci	m	Siena
Ascanio Piccolomini	m	Florence
Ascanio Tortorini	m	
Asdrubale Barbolani da Montauto	m	
Athanasius Kircher	m	Geisa
Attilio Ruggeri	m	
Aurelio Capra	m	
Aurelio Gigli	m	
Baccio Valori	m	Florence
Baldassare Capra	m	Milan
Baldassarre Nardi	m	
Bartholomaeus Schröter	m	Conswick
Bartolomeo	m	
Bartolomeo  Balbi	m	
Bartolomeo  Imperiali	m	Genoa
Bartolomeo Leonardi d’Argensola	m	Barbastro (Huesca)
Bartolommeo Serni	m	
Belisario Vinta	m	Volterra
Benardino Gaio	m	
Benedetto Landucci	m	Florence
Benedetto Castelli	m	Brescia
Benedetto Galilei	m	
Benedetto Guerrini	m	
Benedetto Millini	m	
Benedetto Scalandroni	m	
Benedetto Zorzi	m	Venice
Benjamin Engelcke	m	Danzig
Benjamin Ursinus	m	
Berlinghiero Gessi	m	Bologna
Bernardo Conti	m	
Bernardo Gaio	m	
Bernardo Pisenti	m	
Bonaventura Calvalcanti	m	
Bonaventura Cavalieri	m	Milan
Bonifacio da Cardon	m	
Camillo Borsacchi	m	
Camillo Germini	m	
Cappone Capponi	m	
Carlo Antonio Manzini	m	Bologna
Carlo Barberini	m	
Carlo Bartoli	m	
Carlo Bocchineri	m	
Carlo Castelli	m	Brescia
Carlo Conti	m	Rome
Carlo de’ Medici	m	Florence
Carlo di S. Gasparo	m	
Carlo Gonzaga	m	
Carlo Muti	m	Rome
Carlo Rinuccini	m	Florence
Carlo Strozzi	m	Florence
Cassiano dal Pozzo	m	Vercelli
Caterina Riccardi Niccolini	f	Florence
Cesare Cremonini	m	Cento
Cesare d’Este	m	Ferrara
Cesare Galletti	m	
Cesare Marsili	m	Bologna
Cesare Monti	m	Milan
Chiarissimo Fancelli	m	Settignano
Christoph Grienberger	m	Hall Tirol
Christoph Scheiner	m	Markt Wald
Christopher Clavius	m	Bamberg
Cipriano Saracinelli	m	Orvieto
Ciriaco Rocci	m	Rome
Claudio Costamezzana	m	
Clemente da Iseo	m	
Clemente Egidii	m	Montefalco
Clemente Settimi	m	Camerino
Conte Conti	m	
Cornelio	m	
Cornelius Jansen	m	
Cosimo del Sera	m	Florence
Cosimo Giunti	m	
Cosimo II de’ Medici	m	Florence
Cosimo Pinelli	m	Naples
Cosimo Sassetti	m	
Costantino Huygens	m	The Hague
Costanzo Da Cascio	m	
Cristofano Piochi	m	Buonconvento
Cristoph Ferrari	m	Verona
Cristoph Forstner	m	Berckenstein (Austria superiore)
Curzio Picchena	m	San Geminiano
D. Ermagora di Padua	m	
Daniele Spinola	m	
Daniello Antonini	m	Udine
Dario Tamburelli	m	Marca d'Ancona
David Riques	m	
Desiderio Scaglia	m	Cremona
Dino Peri	m	Florence
Domenico Bonsi	m	
Domenico Cittadini	m	
Domenico Grini	m	
Domenico Molin	m	Venice
Domenico Passignani	m	Passignano
Edmund Bruce	m	[England]
Elia Diodati	m	Geneva
Emanuele Schorer	m	
Enea Piccolomini Aragona	m	
Enrico Caetani	m	Sermoneta
Enrico Puteano	m	Venloo
Ernest	m	
Esaù del Borgo	m	Pisa
Evangelista Torricelli	m	Faenza
Fabio Chigi	m	Siena
Fabio Colonna	m	Naples
Fabio da Lagonissa	m	Naples
Fabrizio Veralli	m	Rome
Famiano Michelini	m	Rome
Federico Borromeo	m	Milan
Federico Cesi	m	Rome
Federico II de’ Medici	m	
Federico Landi	m	
Federigo Borromeo	m	Milan
Ferdinando Bardi	m	
Ferdinando Cesarini	m	Rome
Ferdinando Gonzaga	m	
Ferdinando I de' Medici	m	Florence
Ferdinando II de' Medici and Vittorio della Rovere	m	
Ferdinando II de’ Medici	m	Florence
Ferdinando Saracinelli	m	Orvieto
Filippo Calippi		
Filippo d'Assia	m	Darmstadt
Filippo Magalotti	m	
Filippo Mannucci	m	Florence
Filippo Mueller	m	Herzberg
Filippo Niccolini	m	Florence
Filippo Salviati	m	Florence
Filippo Tremazzi	m	
Flaminio Papazzoni	m	Bologna
Florimondo de Beaune	m	Blois
Fortunio Liceti	m	Rapallo
Fra BAS.o Capp.no	m	
Francesco Barberini	m	Florence
Francesco Bonciani	m	Florence
Francesco Boncompagni	m	Rome
Francesco Cioli	m	
Francesco Conti	m	
Francesco Crivelli	m	
Francesco Cuccini	m	
Francesco de’ Medici	m	Florence
Francesco di Joyeuse	m	Carcasson
Francesco di Noailles	m	
Francesco di Sandoval	m	Lerma
Francesco Duodo	m	Venice
Francesco Galilei	m	
Francesco Ingoli	m	Ravenna
Francesco Maria del Monte	m	Venice
Francesco Maria della Rovere	m	
Francesco Maria Fiorentini	m	Lucca
Francesco Maria Vialardi	m	Vercelli
Francesco Morosini	m	Venice
Francesco Niccolini	m	Florence
Francesco Parrot	m	
Francesco Pecci	m	Siena
Francesco Piccolomini	m	Siena
Francesco Pinelli	m	
Francesco Rasi	m	
Francesco Rinuccini	m	
Francesco Sizzi	m	
Francesco Stelluti	m	Fabriano
Francesco Tengnagel	m	
Francesco van Weert	m	
Francesco Vendramin	m	Venice
Francesco Vitelli	m	
Franciotto Orsini	m	
Francis Bacon	m	Strand London
Fulgenzio Micanzio	m	Passirano
G. de Beauliau	m	
Gabriele Naudé	m	Paris
Gabriello Riccardi	m	
Galileo Galilei	m	Pisa
Gallanzone Gallanzoni	m	
Gaspare Hofmann		Gotha
Gellio Sasceride	m	Copenhagen
Georg Fugger	m	
Geri and Alessandro Bocchineri	m	
Geri Bocchineri	m	
Gherardo Saracini	m	
Giacomo Alvise Cornaro	m	Venice
Giacomo Contarini	m	Venice
Giacomo Gaffarel	m	Mane
Giacomo Jauffred	m	Ciotat (Provenza)
Giacomo Leschassier	m	Paris
Giacomo Muti	m	Rome
Giacomo Van der Straeten	m	Antwerp
Gian Giacomo Bouchard	m	Paris
Giangiorgio Brengger	m	Padua
Giannantonio Rocca	m	Reggio d'Emilia
Gillio Reynier	m	
Gio. Angelo Altermps	m	
Gio. Antonio Della Croce	m	
Gio. Antonio Magini	m	Padua
Gio. Antonio Roffeni	m	Bologna
Gio. Battista	m	
Gio. Battista Agucchi	m	Bologna
Gio. Battista Arici	m	Brescia
Gio. Battista Baliani	m	Genoa
Gio. Battista Bonsi	m	Florence
Gio. Battista Chiodino	m	
Gio. Battista della Porta	m	Vico Equense
Gio. Battista Deti	m	Ferrara
Gio. Battista Doni	m	Florence
Gio. Battista Gondi	m	Florence
Gio. Battista Guzzaroni	m	
Gio. Battista Landini	m	
Gio. Battista Manso	m	Naples
Gio. Battista Morin	m	Ville-France (Beaujolais)
Gio. Battista Pandolfini	m	
Gio. Battista Rinuccini	m	Rome
Gio. Battista Ruschi	m	
Gio. Battista Stelluti	m	
Gio. Battista Strozzi	m	Florence
Gio. Battista Vernacci	m	
Gio. Camillo Gloriosi	m	Gauro
Gio. Domenico Romani	m	
Gio. Francesco Passionei	m	
Gio. Francesco Sagredo	m	Venice
Gio. Francesco Tolomei	m	Siena
Gio. Gherardo Vossio	m	Heidelberg
Gio. Giacomo Cozzolani	m	
Gio. Giacomo Porro	m	
Gio. Grazia Millini	m	Florence
Gio. Lodovico Ramponi	m	
Gio. Marco Marci	m	Landskron (Bohemia)
Gio. Martino Rauscher	m	
Gio. Michele Lingelsheim	m	Strassburg
Gio. Michele Pierucci	m	Pisa
Gio. Michele Piò	m	
Gio. Niccolò Piccinini	m	
Gio. Paolo Bimbacci	m	Florence
Gio. Paolo Casati	m	
Gio. Vincenzo da Tabia	m	
Gio. Vincenzo Pinelli	m	Naples
Giorgio Bolognetti	m	Rome
Giorgio Coresio	m	Chio
Giorgio Fortescue	m	London
Giovanbatista Ricasolo Baroni	m	
Giovancosimo Geraldini	m	Florence
Giovanfrancesco Buonamici	m	Prato
Giovanni Rebhan	m	
Giovanni Antonio Petrarolo	m	
Giovanni Bardi	m	
Giovanni Bartoli	m	
Giovanni Bartolini	m	
Giovanni Bartoluzzi	m	
Giovanni Battista Sampieri	m	
Giovanni Belloni	m	Padua
Giovanni Bruano	m	
Giovanni Ciampoli	m	Florence
Giovanni de’Medici	m	Florence
Giovanni Del Maestro	m	
Giovanni del Ricco	m	Florence
Giovanni Demisiani	m	Cefalonia
Giovanni di Beaugrand	m	
Giovanni di Guevara	m	Naples
Giovanni Freinsheim	m	Ulm
Giovanni Galilei	m	
Giovanni Malipiero	m	Venice
Giovanni Muzzarelli	m	Fanano
Giovanni Niccolini	m	Florence
Giovanni Pieroni	m	San Miniato
Giovanni Reijusk	m	
Giovanni Remo	m	
Giovanni Ronconi	m	
Giovanni Silvi	m	
Giovanni Steinberger	m	Kirchperg (Tyrol)
Giovanni Taddei	m	
Giovanni Talentoni	m	Fivizzano
Giovanni Tarde	m	Roque-Gajac
Giovanni Terrenzio	m	Costanza
Giovanni Uguccioni	m	
Giovanni Vannuccini	m	
Giovanni Vittorio de’Rossi	m	Rome
Giovanni Wells	m	[England]
Girolamo Bardi	m	Rapallo
Girolamo da Quinzano	m	
Girolamo da Sommaia	m	Florence
Girolamo Magagnati	m	Lendinara
Girolamo Mattei	m	
Girolamo Mercuriale	m	Forli
Girolamo Perugino	m	
Girolamo Quaratesi	m	Florence
Girolamo Selvatico	m	Padua
Girolamo Spinelli	m	Padua
Giulia Ammannati Galilei	f	Pisa
Giuliano Cesare Lagalla	m	
Giuliano de’ Medici	m	Florence
Giulio Cesare Lagalla	m	Padua
Giulio Gerini	m	Venice
Giulio Inghirami	m	Volterra
Giulio Ninci	m	
Giulio Parigi	m	
Giuseppe Biancani	m	Bologna
Giuseppe Calasanzio	m	Peralta
Giuseppe Costanzi	m	
Giuseppe d’Acquaviva	m	
Giuseppe Gagliardi	m	
Giuseppe Gaultier	m	Rians
Giuseppe Neri	m	Perugia
Giusto Wiffeldich	m	
Godefroy Wendelin	m	Herck
Grand Duke of Tuscany Mersenne	m	
Gregorio de Saint-Vincent	m	Bruges
Guglielmo Boreel	m	Middelburg
Guglielmo Weilhamer	m	Monaco
Guido Bentivoglio	m	Ferrara
Guido Bettoli	m	
Guidobaldo Del Monte	m	Pesaro
Hans Georg Herwart von Hohenburg	m	Augusta
Henry Wotton	m	Boughton Hall (Kent)
Iacopo Antonio Lunardi	m	
Iacopo Giraldi	m	Florence
Iacopo Mazzoni	m	Cesena
Iacopo Soldani	m	Florence
Ilario Altobelli	m	Montecchio
Ilarione Bongugliemi	m	
Ingolfo de’Conti	m	Padua
Innocenzo Perugino	m	
Ippolito Aldobrandini	m	Rome
Isacco Malleolo	m	
Ismaele Boulliau	m	Loudun
Jan Brożek	m	Krakow
Jan Friedrich Breiner	m	
Jan Łyczko of Rygice	m	
Joachim Ernst von Brandenburg	m	
Johann Carolus	m	
Johann Faber	m	Bamberg
Johannes Brengger	m	Augusta
Johannes Kepler	m	Weil der Stadt
John Wodderborn	m	
Krystof Zbaraski	m	
Lattanzio Magiotti	m	
Lelio d’Oriolo	m	Bologna
Lelio Marzari	m	
Leonardo	m	
Leonardo Donato	m	Bologna
Leopold of Austria	m	Graz
Leopoldo de’ Medici	m	Florence
Livia Galilei	f	
Lodovica Vinta	f	
Lodovico Baitelli	m	Brescia
Lodovico Cardi da Cigoli	m	Castelvecchio di Cigoli
Lodovico delle Colombe	m	Florence
Lodovico Elzevier	m	Utrecht
Lodovico Incontri	m	
Lodovico Kepler	m	Prague
Lodovico Lodovici	m	Macerata
