City Name	Coordinates
Acquapendente	42.7477229,11.8630202
Acquasparta	42.690841,12.5418725
Agen	44.203142,0.616363
Aix	43.529742,5.447427
Aleppo	36.215549,37.159279
Altdorf	46.8778929,8.6405494
Amsterdam	52.3702157,4.8951679
Ancona	43.6158299,13.518915
Antwerp	51.2192159,4.4028818
Arcetri	43.7549007,11.2517889
Arezzo	43.4669678,11.8823076
Artimino	43.7836538,11.0368519
Augsburg	48.3714407,10.8982552
Bamberg	49.8988135,10.9027636
Barbastro (Huesca)	42.0360435,0.1284404
Bardi	44.6336905,9.7313689
Bassano di Sutri	42.2048029,12.1747077
Beaumont-de-Lomagne (near Montauban)	43.88331,0.988511
Bellosguardo	43.765882,11.234023
Benátky nad Jizerou	50.2891605,14.8245121
Berckenstein (Austria superiore)	47.4928291,9.3405451
Blois	47.587952,1.3362719
Bologna	44.494887,11.3426163
Bonazza	43.5874184,11.1661597
Borgo San Sepolcro	43.5921518,12.1289715
Boughton Hall (Kent)	51.2787075,0.5217254
Bracciano	42.1017979,12.1761422
Bratislava	48.1458923,17.1071373
Brescia	45.5411875,10.2194437
Bruges	51.2108365,3.2248692
Brussels	50.8503396,4.3517103
Buonconvento	43.1360569,11.4796048
Butzbach	50.4350358,8.6688418
Cadore	45.7223308,11.6571032
Camerino	43.1356503,13.0683254
Candia	35.3387352,25.1442126
Capodistria (Koper)	45.548059,13.7301877
Caprarola	42.3272312,12.2387494
Carcasson	43.212161,2.353663
Carpendi di Mestre	45.4934881,12.2463181
Castel Gandolfo	41.7497932,12.6485192
Cefalonia	38.1753675,20.5692179
Cento	44.7315319,11.2908156
Cerreto	42.8215544,12.9181991
Cerreto Guidi	43.7597972,10.8801995
Cesena	44.1396438,12.2464292
Champtercier	44.094209,6.161609
Ciotat (Provenza)	43.173653,5.605155
Civitavecchia	42.0924982,11.7956811
Como	45.7992814,9.092748
Conegliano	45.889197,12.3006368
Copenhagen	55.6760968,12.5683371
Cortona	43.2750634,11.98512
Cosenza	39.2982629,16.2537357
Crema	45.3643375,9.6824841
Cremona	45.133249,10.0226511
Danzig	54.3520252,18.6466384
Darmstadt	49.8776483,8.6517617
Delft	52.0115769,4.3570677
Digne	44.092193,6.235976
Fabriano	43.3392143,12.9006655
Faenza	44.2898527,11.8774091
Fanano	44.207978,10.7969832
Ferrara	44.8381237,11.619787
Fiorenzuola	44.9278495,9.9131456
Fivizzano	44.2382456,10.1271607
Florence	43.7710332,11.2480006
Forli	44.2225941,12.041006
Frascati	41.8085208,12.6761041
Gauro	40.7143515,14.9644404
Geisa	50.7158563,9.9516947
Geneva	46.1983922,6.1422961
Genoa	44.4056499,8.946256
Gioiosa	38.3463735,16.3110622
Gotha	50.9469188,10.7092884
Graz	47.070714,15.439504
Grenoble	45.188529,5.724524
Gunzenhausen	49.114722,10.754167
Hall, Tirol	47.2804034,11.5058484
Hamburg	53.5510846,9.9936818
Harrowden (Northamptonshire)	52.2197303,-0.861582
Heidelberg	49.3987524,8.6724335
Herck	50.93923,5.16712
Herenberg	51.4756055,5.8139246
Herzberg	53.5299438,11.9259457
Hirschfeld (Assia)	50.6241671,12.4597955
Hutton (Essex)	51.630286,0.355445
Ingolstadt	48.763611, 11.426111
Innsbruck	47.2692124,11.4041024
Istanbul	41.00527,28.97696
Kirchperg (Tyrol)	47.4477519,12.3151773
Kraków	50.0646501,19.9449799
La Cava	40.68201,14.69215
Landskron (Bohemia)	49.9120412,16.6124965
Leghorn	43.548473,10.3105674
Leida	52.158494,4.496199
Lendinara	45.0838734,11.5991847
Lerma	42.0254298,-3.7600156
Le Selva	43.2724407,11.1062242
Lisbon	38.7252993,-9.1500364
Lodi	45.3138041,9.5018274
London	51.5112139,-0.1198244
Loudun	47.0089674,0.083183
Lucca	43.8376211,10.4950609
Lyon	45.764043,4.835659
Macerata	43.2984268,13.4534767
Macia	45.3728171,11.2843538
Madrid	40.4167754,-3.7037902
Mane	43.937826,5.76693
Mantua	45.1564168,10.7913751
Marignolle	43.7499275,11.2165557
Markt Wald	48.137817,10.582849
Marseille	43.296482,5.36978
Matera	40.666379,16.6043199
Mercato Sanseverino	40.7815673,14.7527759
Middelburg	51.4987962,3.610998
Milan	45.4654542,9.186516
Mirandola	44.8863605,11.0632969
Modena	44.6488366,10.9200867
Monaco	43.7384176,7.4246158
Montalto	42.987253, 13.606853
Montalto Uffugo	39.406743,16.1573277
Montebuono	42.3674042,12.597368
Montecchio	42.6625254,12.2871206
Montedomini	43.7672985,11.267001
Montefalco	42.8892936,12.6502843
Montemurlo	43.9268624,11.0372071
Montepulciano	43.0986938,11.7872467
Montevarchi	43.521842,11.569207
Monticelli	45.0914611,9.929659
Munich	48.1367203,11.576754
Murano	45.4560914,12.3526309
Murlo	46.0583909,9.0157112
Nancy	48.692054,6.184417
Naples	40.8517746,14.2681244
Nola	40.9270884,14.528886
Nuremberg	49.45203,11.07675
Oizé	47.809683,0.103687
Orvieto	42.7185068,12.1107446
Orvinio	42.1340435,12.9375757
Osimo	43.4884025,13.4785426
Padua	45.4064349,11.8767611
Palamanova	45.909424,13.3057286
Paris	48.856614,2.3522219
Parma	44.801485,10.3279036
Passignano	43.1876296,12.1341654
Passirano	45.5984237,10.0589697
Pavia	45.1847248,9.1582069
Perugia	43.1107168,12.3908279
Pesaro	43.9124756,12.9155494
Pescia	43.9073209,10.6891311
Pisa	43.7228386,10.4016888
Pistoia	43.9303475,10.9078587
Poggibonsi	43.4725646,11.146754
Poggio a Caiano	43.8155303,11.0582771
Poppi	43.7233771,11.7700248
Posillipo	40.8142033,14.1991891
Prague	50.0755381,14.4378005
Prato	43.8777049,11.102228
Pratolino	43.8624742,11.3008309
Ragusa	36.9269273,14.7255129
Rapallo	44.3498211,9.2338889
Ravenna	44.4183598,12.2035294
Reggio d'Emilia	44.6989932,10.6296859
Rimini	44.0570817,12.5646003
Rome	41.8929163,12.4825199
Roque-Gajac	44.825047,1.184259
Rovigo	45.0698118,11.7902158
Saciletto	44.4139493,8.1668253
Salsbury	51.068785,-1.794472
Sampierdarena	44.412998,8.887191
San Casciano	43.6420954,11.1843887
San Geminiano	43.4676324,11.0434909
San Miniato	43.6829641,10.8551196
San Pietro in Sillano	44.2224479,10.3029371
Santa Maria a Monte	43.6987603,10.6894335
Santa Maria a Campoli	44.2762073,9.934808
Sant’Angelo	42.5176481,14.060208
Savona	44.2975603,8.4645
Scurcula (Aquila)	42.0532382,13.3471775
Sermoneta	41.5499706,12.9836868
Settignano	43.7864163,11.3273269
Siena	43.318809,11.3307574
Spoleto	42.7305146,12.7344664
Stignano	38.4189243,16.469717
Strand, London	51.5120863,-0.1168574
Strasburg	48.583148,7.747882
Susa	45.1386144,7.0484573
Syracuse	37.0754739,15.2865861
Teano	41.2492784,14.0682377
Terni	42.5636168,12.6426604
The Hague	52.0704978,4.3006999
Tivoli	41.959817,12.8022261
Todi	42.7819352,12.4065686
Toulouse	43.604652,1.444209
Trebsen	51.2843847,12.7576024
Treviso	45.6669011,12.243039
Udine	46.0710668,13.2345794
Ulm	48.4, 9.983333
Urbiana	43.6677728,12.5206526
Urbino	43.7262567,12.6365633
Utrecht	52.09179,5.1145699
Valeggio	45.3546919,10.7343791
Venice	45.4408474,12.3155151
Venloo	51.8167566,4.6641023
Vercelli	45.3202272,8.4185735
Verona	45.4383563,10.9916578
Vicenza	45.5454787,11.5354214
Vico Equense	40.6614983,14.4275013
Vienna	48.2081743,16.3738189
Vigonovo	45.3857612,12.0074189
Villa dell’Ambrogiana	43.7331893,11.0206163
Villa di S. Polo	42.010612,12.84036
Vilnius	54.6871555,25.2796514
Volterra	43.399395,10.8660333
Warsaw	52.2296756,21.0122287
Weil der Stadt	48.7535937,8.8727422
Werdau	50.733333, 12.383333
Zerbst	51.9645579,12.087655
