Letter ID	Letter Author	Letter Recipient	Destination City	Destination State	Destination Country	Source City	Source State	Source Country	Date
1	Antonio de Ville	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Venice	Republic of Venice	Italy	1633-01-04
2	Benedetto Castelli	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Rome	Papal States	Italy	1633-01-07
3	Francesco Niccolini	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Rome	Papal States	Italy	1633-01-09
4	Andrea Cioli	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Pisa	Grand Duchy of Tuscany	Italy	1633-01-11
5	Geri Bocchineri	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Pisa	Grand Duchy of Tuscany	Italy	1633-01-12
6	Giuliano de’ Medici	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Leghorn	Grand Duchy of Tuscany	Italy	1633-01-19
7	Sebastiano Venier	Galileo Galilei	Florence	Grand Duchy of Tuscany	Italy	Venice	Republic of Venice	Italy	1633-01-23
8	Geri Bocchineri	Galileo Galilei	Rome	Papal States	Italy	Pisa	Grand Duchy of Tuscany	Italy	1633-01-24
9	Alessandro Bocchineri	Galileo Galilei	Acquapendente	Papal States	Italy	Florence	Grand Duchy of Tuscany	Italy	1633-01-27
10	Alessandro Bocchineri	Galileo Galilei	Acquapendente	Papal States	Italy	Florence	Grand Duchy of Tuscany	Italy	1633-01-29
11	Francesco Niccolini	Galileo Galilei	Acquapendente	Papal States	Italy	Rome	Papal States	Italy	1633-01-30
12	Francesco Niccolini	Galileo Galilei	Acquapendente	Papal States	Italy	Rome	Papal States	Italy	1633-01-31
13	Geri Bocchineri	Galileo Galilei	Acquapendente	Papal States	Italy	Florence	Grand Duchy of Tuscany	Italy	1633-02-03
14	Geri Bocchineri	Galileo Galilei	Acquapendente	Papal States	Italy	Florence	Grand Duchy of Tuscany	Italy	1633-02-05
15	Maria Celeste Galilei	Galileo Galilei	Rome	Papal States	Italy	Arcetri	Grand Duchy of Tuscany	Italy	1633-02-05
16	Francesco Niccolini	Galileo Galilei	Acquapendente	Papal States	Italy	Rome	Papal States	Italy	1633-02-05
17	Niccolò Cini	Galileo Galilei	Rome	Papal States	Italy	Florence	Grand Duchy of Tuscany	Italy	1633-02-12
18	Alessandro Bocchineri	Galileo Galilei	Rome	Papal States	Italy	Leghorn	Grand Duchy of Tuscany	Italy	1633-02-18
19	Geri Bocchineri	Galileo Galilei	Rome	Papal States	Italy	Leghorn	Grand Duchy of Tuscany	Italy	1633-02-18
20	Geri Bocchineri	Galileo Galilei	Rome	Papal States	Italy	Pisa	Grand Duchy of Tuscany	Italy	1633-02-21
