Full Name	Gender	Place of Birth	Letters Authored
Alessandro Bocchineri	m		4
Andrea Arrighetti	m		3
Andrea Cioli	m	Cortona	4
Antonio de Ville	m		1
Antonio Nardi	m	Arezzo	5
Antonio Quaratesi	m	Florence	2
Ascanio Piccolomini	m	Florence	5
Baldassarre Nardi	m		1
Benedetto Castelli	m	Brescia	10
Benedetto Millini	m		2
Bernardo Conti	m		3
Bonaventura Calvalcanti	m		1
Carlo Rinuccini	m	Florence	3
Cassiano dal Pozzo	m	Vercelli	1
Caterina Riccardi Niccolini	f	Florence	1
Dino Peri	m	Florence	5
Filippo Magalotti	m		1
Francesco Galilei	m		1
Francesco Maria Fiorentini	m	Lucca	2
Francesco Niccolini	m	Florence	16
Francesco Stelluti	m	Fabriano	1
Gabriello Riccardi	m		2
Geri Bocchineri	m		49
Gian Giacomo Bouchard	m	Paris	1
Gio. Battista Doni	m	Florence	1
Gio. Camillo Gloriosi	m	Gauro	1
Gio. Francesco Tolomei	m	Siena	8
Giovanfrancesco Buonamici	m	Prato	1
Giovanni Ciampoli	m	Florence	4
Giovanni Ronconi	m		1
Giovanni Vannuccini	m		2
Girolamo da Sommaia	m	Florence	1
Giuliano deäó» Medici	m	Florence	1
Giulio Ninci	m		1
Luca Degli Albizzi	m		1
Luigi Capponi	m	Florence	1
Marcantonio Pieralli	m	San Miniato	1
Maria Celeste Galilei	f		49
Maria Tedaldi	f		6
Mario Guiducci	m	Florence	30
Matthias Bernegger	m	Ilallstatt	1
Niccolí_ Aggiunti	m	Borgo San Sepolcro	8
Niccolí_ Cini	m		8
Orazio Cavalcanti	m	Florence	2
Pier Francesco Rinuccini	m		2
Piero Girolami	m		1
Pietro Mazzei	m		1
Polissena Gatteschi Bocchineri	f		1
Raffaello Magiotti	m	Montevarchi	6
Raffaello Visconti	m		1
Sebastiano Venier	m	Venice	1
"Vincenzo Galilei, Jr."	m	Padua	4
Vincenzo Langieri	m		1
Vincenzo Renieri	m	Genoa	1
Galileo Galilei	m	Pisa	0
